Customer ID,recency,frequency,monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,segment
12346.0,-39,1,77183.6,1,1,5,11,hibernating
12347.0,-362,7,4310.000000000001,5,5,5,55,champions
12348.0,-289,4,1797.24,2,4,4,24,at_Risk
12349.0,-346,1,1757.5500000000002,4,1,4,41,promising
12350.0,-54,1,334.40000000000003,1,1,2,11,hibernating
12352.0,-328,8,2506.0400000000004,3,5,5,35,loyal_customers
12353.0,-160,1,89.0,1,1,1,11,hibernating
12354.0,-132,1,1079.3999999999999,1,1,4,11,hibernating
12355.0,-150,1,459.4,1,1,2,11,hibernating
12356.0,-342,3,2811.43,4,3,5,43,potential_loyalists
12357.0,-331,1,6207.67,3,1,5,31,about_to_sleep
12358.0,-363,2,1168.06,5,2,4,52,potential_loyalists
12359.0,-307,4,6372.58,3,4,5,34,loyal_customers
12360.0,-312,3,2662.06,3,3,5,33,need_attention
12361.0,-77,1,189.89999999999998,1,1,1,11,hibernating
12362.0,-361,10,5226.23,5,5,5,55,champions
12363.0,-255,2,552.0,2,2,3,22,hibernating
12364.0,-357,4,1313.1000000000001,5,4,4,54,champions
12365.0,-73,2,641.3799999999999,1,2,3,12,hibernating
12367.0,-360,1,168.89999999999998,5,1,1,51,new_customers
12370.0,-313,4,3545.6899999999996,3,4,5,34,loyal_customers
12371.0,-320,2,1887.96,3,2,4,32,about_to_sleep
12372.0,-293,3,1298.0400000000002,3,3,4,33,need_attention
12373.0,-53,1,364.6,1,1,2,11,hibernating
12374.0,-339,1,742.93,4,1,3,41,promising
12375.0,-354,2,457.5,5,2,2,52,potential_loyalists
12377.0,-49,2,1628.12,1,2,4,12,hibernating
12378.0,-235,1,4008.62,2,1,5,21,hibernating
12379.0,-283,2,852.24,2,2,3,22,hibernating
12380.0,-343,4,2724.8100000000004,4,4,5,44,loyal_customers
12381.0,-360,5,1845.3100000000004,5,4,4,54,champions
12383.0,-180,5,1850.5600000000002,1,4,4,14,at_Risk
12384.0,-336,2,585.2700000000001,4,2,3,42,potential_loyalists
